Voltaje (V),Conteos/s
350,0
375,0
400,0
425,0
450,0
475,0
500,0
525,2
525,34
525,2
525,4
550,12
550,10
550,7
550,4
550,5
575,7
575,12
575,10
575,11
575,13
575,8
600,12
600,10
600,18
600,16
600,12
625,25
625,21
625,26
625,27
625,27
625,22
650,42
650,45
650,48
650,42
650,45
650,41
