Voltaje (V),Conteos/s
350,0
375,0
400,0
425,0
450,0
475,19
475,34
475,43
475,30
475,28
475,31
500,193
500,194
500,190
500,194
500,199
500,208
525,449
525,443
525,439
525,471
525,472
525,440
550,1340
550,1276
550,1246
550,1325
550,1242
575,1776
575,1819
575,1715
575,1724
575,1728
600,2006
600,2036
600,2089
600,2001
600,2060
625,2180
625,2190
625,2163
625,2120
625,2256
650,2274
650,2257
650,2265
650,2393
650,2333
